DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
ADVANCED,45 min 90s Hip Hop Full Body Strength,45,ADRIAN WILLIAMS,STRENGTH,Thu 10/28/21 @ 10:00 PM,99.7,3010,8.1,"Check yourself before you wreck yourself¡ªare you ready to work? Not only does this class feature artists from coast to coast, you¡¯ll experience hip hop and a full-body burn in a whole new way.",TRUE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Chest & Back Strength,20,ADRIAN WILLIAMS,STRENGTH,Thu 10/7/21 @ 10:40 PM,99.5,6880,6.9,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Chest & Back Strength,20,ADRIAN WILLIAMS,STRENGTH,Thu 9/30/21 @ 9:10 PM,99.7,6219,7.1,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Bodyweight Strength,20,ADRIAN WILLIAMS,STRENGTH,Thu 9/30/21 @ 8:30 PM,98.8,3981,7.4,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",TRUE,['Workout Mat']
INTERMEDIATE,10 min Core Strength,10,ADRIAN WILLIAMS,STRENGTH,Wed 9/29/21 @ 10:00 PM,88.7,8611,6.5,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,"['Light Weights', 'Workout Mat']"
INTERMEDIATE,10 min Chest & Back Strength,10,ADRIAN WILLIAMS,STRENGTH,Thu 9/2/21 @ 9:20 PM,98.4,18778,6.4,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Full Body Strength,30,ADRIAN WILLIAMS,STRENGTH,Thu 9/2/21 @ 8:30 PM,99.6,11225,7.3,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Glutes & Legs Strength,20,ADRIAN WILLIAMS,STRENGTH,Wed 9/1/21 @ 10:00 PM,99.7,9131,7.4,Join us for a glutes and legs workout to tone and strengthen the biggest muscles in your body.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Arms & Shoulders Strength,10,ADRIAN WILLIAMS,STRENGTH,Thu 8/26/21 @ 9:20 PM,99.7,13378,6.3,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.,FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,45 min Full Body Strength,45,ADRIAN WILLIAMS,STRENGTH,Wed 8/25/21 @ 10:00 PM,99.8,10013,7.4,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,45 min Full Body Strength,45,ADRIAN WILLIAMS,STRENGTH,Thu 8/19/21 @ 8:30 PM,99.7,9827,8,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Full Body Strength,30,ADRIAN WILLIAMS,STRENGTH,Wed 8/18/21 @ 10:00 PM,98.9,11064,7.5,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Workout Mat', 'Medium Weights']"
INTERMEDIATE,20 min Bodyweight Strength,20,ADRIAN WILLIAMS,STRENGTH,Thu 8/12/21 @ 9:10 PM,99.4,5681,6.8,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
ADVANCED,20 min Chest & Back Strength,20,ADRIAN WILLIAMS,STRENGTH,Thu 8/12/21 @ 8:30 PM,99.6,8222,7.5,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
