DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,ALEX TOUSSAINT,STRENGTH,Tue 10/26/21 @ 7:15 AM,99.8,10019,6.4,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,ALEX TOUSSAINT,STRENGTH,Tue 9/21/21 @ 8:15 AM,99.8,21714,6.6,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,ALEX TOUSSAINT,STRENGTH,Wed 6/23/21 @ 9:00 PM,99.9,29257,6.8,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,ALEX TOUSSAINT,STRENGTH,Tue 5/18/21 @ 8:15 AM,99.9,26389,6.6,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,ALEX TOUSSAINT,STRENGTH,Tue 3/30/21 @ 8:15 AM,99.9,26249,7,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ALEX TOUSSAINT,STRENGTH,Tue 2/23/21 @ 9:15 AM,99.9,24386,6.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ALEX TOUSSAINT,STRENGTH,Wed 2/10/21 @ 9:15 AM,99.7,23697,6.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ALEX TOUSSAINT,STRENGTH,Tue 11/17/20 @ 9:15 AM,99.9,22048,6.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ALEX TOUSSAINT,STRENGTH,Fri 8/7/20 @ 9:00 PM,99.9,69195,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ALEX TOUSSAINT,STRENGTH,Fri 12/20/19 @ 9:00 PM,99.9,91555,7.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,15 min Core Strength,15,ALEX TOUSSAINT,STRENGTH,Fri 12/20/19 @ 3:30 AM,96.4,23885,6.9,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,[]
NO_DIFFICULTY_TAG,5 min Core Strength,5,ALEX TOUSSAINT,STRENGTH,Fri 12/13/19 @ 5:15 AM,99.5,30640,6.6,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Core Strength,10,ALEX TOUSSAINT,STRENGTH,Wed 11/27/19 @ 9:00 PM,98.9,24452,6.8,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Core Strength,10,ALEX TOUSSAINT,STRENGTH,Fri 11/1/19 @ 2:35 AM,97.2,15934,6.4,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,5 min Core Strength,5,ALEX TOUSSAINT,STRENGTH,Thu 10/24/19 @ 11:50 PM,99.3,19617,6.5,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ALEX TOUSSAINT,STRENGTH,Fri 10/4/19 @ 4:15 AM,99.6,20787,6.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ALEX TOUSSAINT,STRENGTH,Fri 7/19/19 @ 5:05 AM,99.8,23661,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,ALEX TOUSSAINT,STRENGTH,Fri 7/19/19 @ 3:15 AM,99.2,10085,6.8,"Join us on the floor for 10 minutes of core work to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms & Shoulders Strength,10,ALEX TOUSSAINT,STRENGTH,Fri 7/19/19 @ 2:52 AM,98.8,6735,6.5,Grab your weights and join us for 10 minutes of arm and shoulder work to tone and strengthen your upper body.,FALSE,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ALEX TOUSSAINT,STRENGTH,Fri 6/7/19 @ 5:05 AM,99.8,16618,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,5 min Core Strength,5,ALEX TOUSSAINT,STRENGTH,Thu 5/30/19 @ 3:18 AM,99.4,9463,6.4,"Join us on the floor for 5 minutes of core work to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,15 min Bodyweight Strength,15,ALEX TOUSSAINT,STRENGTH,Thu 5/30/19 @ 2:50 AM,98.6,8017,6.2,Join us for a high-energy bodyweight training workout. You won't need weights for this class!,FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms & Shoulders Strength,10,ALEX TOUSSAINT,STRENGTH,Thu 5/30/19 @ 2:30 AM,99.7,6016,7.2,Grab your weights and join us for 10 minutes of arm and shoulder work to tone and strengthen your upper body.,FALSE,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ALEX TOUSSAINT,STRENGTH,Fri 5/24/19 @ 5:05 AM,99.8,6983,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,ALEX TOUSSAINT,STRENGTH,Wed 4/10/19 @ 2:05 AM,99.1,3765,6.9,"Join us on the floor for 10 minutes of core work to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
