DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,20 min Pop Barre,20,ALLY LOVE,STRENGTH,Thu 10/28/21 @ 5:00 AM,99.5,3511,6.7,"This low-impact, high-energy class combines lifting and lowering, pulsing and isometric holds that will be sure to leave you feeling strengthened, energized and balanced.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,20 min Beyonc¨¦ Barre,20,ALLY LOVE,STRENGTH,Wed 10/20/21 @ 1:30 AM,99.1,9889,6.4,"Strong body. Strong mind. Source your power from this low-impact, high-energy Beyonc¨¦ barre with Ally.",FALSE,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Latin Barre,10,ALLY LOVE,STRENGTH,Thu 10/14/21 @ 5:35 AM,99.5,4249,6,"This low-impact, high-energy class combines lifting and lowering, pulsing and isometric holds that will be sure to leave you feeling strengthened, energized and balanced.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,15 min Disco Barre,15,ALLY LOVE,STRENGTH,Thu 10/14/21 @ 5:00 AM,99.6,4172,5.8,"This low-impact, high-energy class combines lifting and lowering, pulsing and isometric holds that will be sure to leave you feeling strengthened, energized and balanced.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,20 min LHM Celebration Barre,20,ALLY LOVE,STRENGTH,Fri 10/8/21 @ 10:00 PM,98.7,3753,5.7,Celebrate Latinx Heritage Month in this 20 min barre.,FALSE,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,15 min Barre,15,ALLY LOVE,STRENGTH,Fri 9/24/21 @ 10:00 PM,99.6,5762,6.2,"This low-impact, high-energy class combines lifting and lowering, pulsing and isometric holds that will be sure to leave you feeling strengthened, energized and balanced.",FALSE,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,20 min Hip Hop Barre,20,ALLY LOVE,STRENGTH,Thu 9/16/21 @ 5:00 AM,99.4,10839,6.7,"This low-impact, high-energy class combines lifting and lowering, pulsing and isometric holds that will be sure to leave you feeling strengthened, energized and balanced.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Barre,10,ALLY LOVE,STRENGTH,Fri 9/10/21 @ 10:00 PM,99.5,5319,5.8,"This low-impact, high-energy class combines lifting and lowering, pulsing and isometric holds that will be sure to leave you feeling strengthened, energized and balanced. Today's focus: Upper Body",FALSE,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,45 min Pop Barre,45,ALLY LOVE,STRENGTH,Thu 9/2/21 @ 5:00 AM,99.5,6068,6.8,"This low-impact, high-energy class combines lifting and lowering, pulsing and isometric holds that will be sure to leave you feeling strengthened, energized and balanced.",FALSE,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,20 min Barre,20,ALLY LOVE,STRENGTH,Wed 8/18/21 @ 10:00 PM,99.7,10356,6.5,"This low-impact, high-energy class combines lifting and lowering, pulsing and isometric holds that will be sure to leave you feeling strengthened, energized and balanced.",FALSE,"['Workout Mat', 'Light Weights']"
