DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
INTERMEDIATE,20 min Halloween Full Body Strength,20,ANDY SPEER,STRENGTH,Sat 10/30/21 @ 1:00 AM,83.5,2374,5.6,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,5 min Core Strength,5,ANDY SPEER,STRENGTH,Tue 10/19/21 @ 2:10 AM,99.4,8310,6.6,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,['Workout Mat']
INTERMEDIATE,20 min Upper Body Strength,20,ANDY SPEER,STRENGTH,Tue 10/19/21 @ 1:30 AM,99.4,5318,7.1,"Our upper body classes combine movements that are designed to strengthen your arms, shoulders, chest and back. While our more concentrated classes isolate specific parts of the body, this class offers a broader focus of upper-body strengthening.",TRUE,"['Medium Weights', 'Workout Mat']"
ADVANCED,45 min Full Body Strength,45,ANDY SPEER,STRENGTH,Sun 10/17/21 @ 10:30 PM,96.2,1389,7.3,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Bodyweight Strength,10,ANDY SPEER,STRENGTH,Fri 10/8/21 @ 10:00 PM,98.9,4998,5.4,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,5 min Core Strength,5,ANDY SPEER,STRENGTH,Tue 10/5/21 @ 2:20 AM,99.6,10420,6.1,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,TRUE,[]
INTERMEDIATE,30 min Full Body Strength,30,ANDY SPEER,STRENGTH,Tue 10/5/21 @ 1:30 AM,98.9,2256,7.1,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,[]
INTERMEDIATE,20 min Core Strength,20,ANDY SPEER,STRENGTH,Thu 9/30/21 @ 10:00 PM,98.6,2948,6.4,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,"['Heavy Weights', 'Light Weights', 'Workout Mat']"
INTERMEDIATE,20 min Bodyweight Strength,20,ANDY SPEER,STRENGTH,Wed 9/29/21 @ 12:40 AM,97.3,1791,6.7,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
ADVANCED,20 min Upper Body Strength,20,ANDY SPEER,STRENGTH,Wed 9/29/21 @ 12:00 AM,98.5,3221,7.5,"Our upper body classes combine movements that are designed to strengthen your arms, shoulders, chest and back. While our more concentrated classes isolate specific parts of the body, this class offers a broader focus of upper-body strengthening.",FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,5 min Core Strength,5,ANDY SPEER,STRENGTH,Wed 9/22/21 @ 12:50 AM,99.6,14042,6,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,['Workout Mat']
