DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,20 min Core for Runners,20,BECS GENTRY,STRENGTH,Mon 10/18/21 @ 10:00 PM,98.7,1477,6,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Light Weights', 'Workout Mat']"
INTERMEDIATE,15 min Core for Runners,15,BECS GENTRY,STRENGTH,Mon 10/4/21 @ 10:00 PM,99.3,2583,6.2,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,5 min Core for Runners,5,BECS GENTRY,STRENGTH,Mon 9/20/21 @ 10:00 PM,99.2,7267,5.4,Improve your running strength and stability in this workout off the Tread.,FALSE,['Workout Mat']
INTERMEDIATE,30 min Strength for Runners,30,BECS GENTRY,STRENGTH,Fri 9/3/21 @ 8:30 PM,98.7,3320,6.2,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,30 min Strength for Runners,30,BECS GENTRY,STRENGTH,Wed 8/25/21 @ 10:45 PM,99.2,2970,5.8,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat', 'Light Weights']"
INTERMEDIATE,10 min Core for Runners,10,BECS GENTRY,STRENGTH,Wed 8/4/21 @ 11:25 PM,98.8,15817,5.5,Improve your running strength and stability in this workout off the Tread.,FALSE,['Workout Mat']
INTERMEDIATE,20 min Strength for Runners,20,BECS GENTRY,STRENGTH,Wed 8/4/21 @ 10:45 PM,99.6,4459,6.2,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Strength for Runners,10,BECS GENTRY,STRENGTH,Mon 8/2/21 @ 10:00 PM,99.6,5049,5.7,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,15 min Strength for Runners,15,BECS GENTRY,STRENGTH,Mon 7/19/21 @ 10:00 PM,99.2,5130,6.3,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,30 min Strength for Runners,30,BECS GENTRY,STRENGTH,Thu 7/15/21 @ 12:00 AM,98.8,2714,6,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Core for Runners,10,BECS GENTRY,STRENGTH,Mon 7/12/21 @ 10:00 PM,98.9,4901,5.9,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Workout Mat', 'Medium Weights']"
INTERMEDIATE,20 min Strength for Runners,20,BECS GENTRY,STRENGTH,Wed 6/16/21 @ 8:30 PM,99.1,4428,6,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Core Strength,10,BECS GENTRY,STRENGTH,Fri 6/11/21 @ 10:00 PM,98.8,25310,7.1,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
INTERMEDIATE,10 min Core for Runners,10,BECS GENTRY,STRENGTH,Tue 6/8/21 @ 10:00 PM,99.5,5334,5.6,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Light Weights', 'Workout Mat']"
INTERMEDIATE,10 min Core for Runners,10,BECS GENTRY,STRENGTH,Tue 6/1/21 @ 10:00 PM,97,7205,5.4,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Light Weights', 'Workout Mat']"
INTERMEDIATE,15 min Core for Runners,15,BECS GENTRY,STRENGTH,Tue 6/1/21 @ 10:00 PM,99.4,3171,5.8,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Core Strength Warm Up,10,BECS GENTRY,STRENGTH,Tue 6/1/21 @ 10:00 PM,99.5,1843,4,"The next 10 minutes will fly by. Our strength warm ups are designed to elevate your heart rate, increase blood flow and get your body ready for your workout through mobility training and breathing exercises.",FALSE,['Workout Mat']
INTERMEDIATE,30 min Strength for Runners,30,BECS GENTRY,STRENGTH,Wed 5/26/21 @ 8:30 PM,99.2,4060,6.4,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Heavy Weights', 'Workout Mat']"
INTERMEDIATE,15 min Core for Runners,15,BECS GENTRY,STRENGTH,Wed 5/12/21 @ 9:10 PM,98,4459,5.9,Improve your running strength and stability in this workout off the Tread.,FALSE,"['Medium Weights', 'Workout Mat']"
