DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,5 min Ed Sheeran Core Strength,5,BEN ALLDIS,STRENGTH,Mon 11/1/21 @ 5:17 PM,99.7,6377,5.7,Bring the fire and sweat with Ben as you work your abs and lower back in this Core Strength class fuelled by the iconic sounds of Ed Sheeran.,FALSE,['Workout Mat']
INTERMEDIATE,30 min Full Body Strength,30,BEN ALLDIS,STRENGTH,Mon 11/1/21 @ 4:30 PM,99.9,1724,7.1,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Arms & Shoulder Strength,10,BEN ALLDIS,STRENGTH,Thu 10/28/21 @ 4:00 PM,99.8,6847,6.3,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.,FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Bodyweight Strength,10,BEN ALLDIS,STRENGTH,Thu 10/28/21 @ 3:30 PM,99.8,1761,5.9,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
INTERMEDIATE,20 min Glutes & Legs Strength,20,BEN ALLDIS,STRENGTH,Mon 10/25/21 @ 3:30 PM,99.7,3376,7,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Beyoncé Upper Body Strength,20,BEN ALLDIS,STRENGTH,Fri 10/22/21 @ 1:30 AM,99.6,10149,6.4,"Strong body. Strong mind. Source your power from this high-energy, high-impact Beyoncé strength with Ben.",FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,BEN ALLDIS,STRENGTH,Wed 10/20/21 @ 3:35 PM,99.7,10356,6.1,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,FALSE,['Light Weights']
INTERMEDIATE,20 min Bodyweight Strength,20,BEN ALLDIS,STRENGTH,Tue 10/19/21 @ 11:05 AM,99.8,1605,6.4,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
INTERMEDIATE,20 min Core Strength,20,BEN ALLDIS,STRENGTH,Mon 10/18/21 @ 3:30 PM,99.8,3334,6.8,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,['Workout Mat']
INTERMEDIATE,15 min Chest & Back Strength,15,BEN ALLDIS,STRENGTH,Thu 10/14/21 @ 3:30 PM,99.6,4480,6.7,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Full Body Strength,30,BEN ALLDIS,STRENGTH,Thu 10/7/21 @ 3:30 PM,99.8,6239,7.1,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
