DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
INTERMEDIATE,20 min Full Body Strength,20,CALLIE GULLICKSON,STRENGTH,Tue 11/2/21 @ 10:00 PM,98.9,1491,6.5,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,5 min Core Strength,5,CALLIE GULLICKSON,STRENGTH,Sat 10/30/21 @ 9:50 PM,99.6,8624,6.3,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,False,['Workout Mat']
INTERMEDIATE,30 min Full Body Strength,30,CALLIE GULLICKSON,STRENGTH,Sat 10/30/21 @ 9:00 PM,99,2782,6.7,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,False,"['Medium Weights', 'Workout Mat', 'Heavy Weights']"
INTERMEDIATE,10 min Core Strength,10,CALLIE GULLICKSON,STRENGTH,Wed 10/27/21 @ 10:40 PM,99,12511,6.7,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,False,['Workout Mat']
BEGINNER,20 min Glutes & Legs Strength,20,CALLIE GULLICKSON,STRENGTH,Wed 10/27/21 @ 10:00 PM,98.6,1175,5.9,Strengthen the largest muscles in your body with this glutes & legs workout.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
BEGINNER,20 min Full Body Strength,20,CALLIE GULLICKSON,STRENGTH,Tue 10/26/21 @ 10:00 PM,99,2387,5.5,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,False,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Core Strength,20,CALLIE GULLICKSON,STRENGTH,Sat 10/23/21 @ 9:30 PM,97.8,4187,6.7,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,False,['Workout Mat']
INTERMEDIATE,10 min Bodyweight Strength,10,CALLIE GULLICKSON,STRENGTH,Sat 10/23/21 @ 9:00 PM,98.4,3800,6.2,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",False,['Workout Mat']
INTERMEDIATE,20 min Arms & Shoulders Strength,20,CALLIE GULLICKSON,STRENGTH,Wed 10/20/21 @ 10:40 PM,98.4,5838,6.8,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.,False,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Bodyweight Strength,20,CALLIE GULLICKSON,STRENGTH,Wed 10/20/21 @ 10:00 PM,98.7,1634,5.8,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",False,['Workout Mat']
INTERMEDIATE,10 min Core Strength,10,CALLIE GULLICKSON,STRENGTH,Thu 6/17/21 @ 11:20 PM,99.5,20850,6.6,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
INTERMEDIATE,20 min Glutes & Legs Strength,20,CALLIE GULLICKSON,STRENGTH,Sat 10/16/21 @ 9:40 PM,99.1,3586,6.4,Strengthen the largest muscles in your body with this glutes & legs workout.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Full Body Strength,20,CALLIE GULLICKSON,STRENGTH,Sat 10/16/21 @ 9:00 PM,99,4565,6.5,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Core Strength,20,CALLIE GULLICKSON,STRENGTH,Wed 10/13/21 @ 10:40 PM,98.5,3918,6.9,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,False,['Workout Mat']
BEGINNER,20 min Full Body Strength,20,CALLIE GULLICKSON,STRENGTH,Wed 10/13/21 @ 10:00 PM,98.7,1989,5.7,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,30 min Full Body Strength,30,CALLIE GULLICKSON,STRENGTH,Tue 10/5/21 @ 10:00 PM,99.1,4743,7.1,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Glutes & Legs Strength,10,CALLIE GULLICKSON,STRENGTH,Sat 10/2/21 @ 9:55 PM,99.2,4517,6.7,Strengthen the largest muscles in your body with this glutes & legs workout.,False,"['Heavy Weights', 'Workout Mat']"
INTERMEDIATE,20 min Bodyweight Strength,20,CALLIE GULLICKSON,STRENGTH,Sat 10/2/21 @ 9:15 PM,98.9,3301,6.3,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",False,['Workout Mat']
INTERMEDIATE,20 min Bodyweight Strength,20,CALLIE GULLICKSON,STRENGTH,Fri 10/1/21 @ 8:30 PM,97.1,1635,6.6,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",False,['Workout Mat']
BEGINNER,10 min Glutes & Legs Strength,10,CALLIE GULLICKSON,STRENGTH,Fri 10/1/21 @ 12:40 AM,99.3,3888,5.8,Strengthen the largest muscles in your body with this glutes & legs workout.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Full Body Strength,30,CALLIE GULLICKSON,STRENGTH,Wed 9/29/21 @ 10:45 PM,98.5,5552,7.1,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Arms & Shoulders Strength,10,CALLIE GULLICKSON,STRENGTH,Sat 9/25/21 @ 9:55 PM,99.5,11233,5.7,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.,False,"['Light Weights', 'Medium Weights', 'Workout Mat']"
