DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,CHRISTINE D'ERCOLE,STRENGTH,Wed 8/18/21 @ 9:00 PM,98.4,14551,6.9,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,CHRISTINE D'ERCOLE,STRENGTH,Tue 3/23/21 @ 8:15 AM,97.2,20236,6.2,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CHRISTINE D'ERCOLE,STRENGTH,Wed 2/3/21 @ 9:15 AM,96.4,13493,6.8,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Pelothon 2020 Arms Toning,10,CHRISTINE D'ERCOLE,STRENGTH,Thu 8/6/20 @ 6:45 AM,97,26342,6.3,Join Christine for this 10 minute Arms Toning as we close out this final week of Pelothon with a bang!,FALSE,[]
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CHRISTINE D'ERCOLE,STRENGTH,Thu 6/18/20 @ 6:45 AM,98.3,36131,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CHRISTINE D'ERCOLE,STRENGTH,Tue 2/18/20 @ 12:05 AM,99.5,34956,7.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CHRISTINE D'ERCOLE,STRENGTH,Tue 1/21/20 @ 12:05 AM,99.6,12863,7.1,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CHRISTINE D'ERCOLE,STRENGTH,Tue 12/24/19 @ 12:05 AM,99,9116,7.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CHRISTINE D'ERCOLE,STRENGTH,Tue 11/26/19 @ 12:05 AM,95.3,10522,7.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CHRISTINE D'ERCOLE,STRENGTH,Mon 10/28/19 @ 11:05 PM,99.2,6387,7,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,CHRISTINE D'ERCOLE,STRENGTH,Fri 10/25/19 @ 2:00 AM,94.4,10826,5.4,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CHRISTINE D'ERCOLE,STRENGTH,Thu 7/18/19 @ 10:05 PM,99.5,8255,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CHRISTINE D'ERCOLE,STRENGTH,Thu 6/20/19 @ 10:05 PM,98.3,4325,6.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,15 min Arms & Shoulders Strength,15,CHRISTINE D'ERCOLE,STRENGTH,Wed 5/15/19 @ 1:48 AM,97.5,5048,7.2,Grab your weights and join us for 15 minutes of arm and shoulder work to tone and strengthen your upper body.,FALSE,"['Light Weights', 'Medium Weights']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CHRISTINE D'ERCOLE,STRENGTH,Thu 5/9/19 @ 10:05 PM,99.3,5814,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,5 min Core Strength,5,CHRISTINE D'ERCOLE,STRENGTH,Wed 5/1/19 @ 3:03 AM,94.5,12486,5.1,"Join us on the floor for 5 minutes of core work to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
