DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,CODY RIGSBY,STRENGTH,Mon 9/13/21 @ 9:00 PM,99.7,27788,5.9,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,CODY RIGSBY,STRENGTH,Wed 7/28/21 @ 8:15 AM,99.8,32733,6.1,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,CODY RIGSBY,STRENGTH,Thu 6/17/21 @ 5:45 AM,99.8,32600,6.0,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,CODY RIGSBY,STRENGTH,Wed 5/26/21 @ 8:15 AM,99.9,34301,6.4,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,CODY RIGSBY,STRENGTH,Wed 3/31/21 @ 8:15 AM,99.8,42627,6.3,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,CODY RIGSBY,STRENGTH,Wed 3/17/21 @ 8:15 AM,99.8,29803,5.9,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,CODY RIGSBY,STRENGTH,Wed 3/3/21 @ 9:15 AM,99.6,24413,5.9,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Wed 1/20/21 @ 9:15 AM,99.7,31806,5.9,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Wed 1/6/21 @ 9:15 AM,99.3,27931,6.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Wed 12/30/20 @ 9:15 AM,99.1,30067,5.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Wed 12/16/20 @ 9:15 AM,99.6,25630,6.1,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Wed 11/18/20 @ 9:15 AM,99.8,20484,6.1,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Mon 10/26/20 @ 8:15 PM,99.7,21066,6.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Wed 10/14/20 @ 8:15 AM,99.8,17488,6.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Fri 10/2/20 @ 8:15 PM,98,19881,5.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Wed 9/16/20 @ 8:15 AM,98.6,42772,6.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Wed 9/2/20 @ 6:15 AM,99.8,51605,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Fri 8/28/20 @ 6:45 AM,99.8,36863,6.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Wed 8/19/20 @ 8:15 AM,99.2,42847,6.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Fri 8/14/20 @ 6:45 AM,99.8,28852,6.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Wed 7/29/20 @ 8:15 AM,99.8,47810,6.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Britney Spears Arms Toning,10,CODY RIGSBY,STRENGTH,Thu 7/16/20 @ 8:15 AM,99.7,93488,6.6,Feel stronger than you were yesterday as you tone your arms to the iconic pop sounds of Britney Spears with Cody.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Wed 7/8/20 @ 8:15 AM,99.8,34010,6.8,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,CODY RIGSBY,STRENGTH,Mon 6/29/20 @ 10:00 PM,99.4,41901,6.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
