DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,20 min Glutes & Legs Strength,20,DANIEL MCKENNA,STRENGTH,Tue 11/2/21 @ 10:00 PM,99.4,485,6.8,Strengthen the largest muscles in your body with this glutes & legs workout.,False,"['Heavy Weights', 'Light Weights', 'Workout Mat']"
INTERMEDIATE,20 min Bodyweight Strength,20,DANIEL MCKENNA,STRENGTH,Tue 10/26/21 @ 10:00 PM,97.9,2165,5.8,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",False,['Workout Mat']
INTERMEDIATE,20 min Full Body Strength,20,DANIEL MCKENNA,STRENGTH,Sun 10/3/21 @ 2:00 AM,99.4,3769,6.4,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,True,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Glutes & Legs Strength,20,DANIEL MCKENNA,STRENGTH,Sun 10/10/21 @ 1:40 AM,99.7,6612,7.2,Strengthen the largest muscles in your body with this glutes & legs workout.,False,"['Heavy Weights', 'Light Weights', 'Workout Mat']"
INTERMEDIATE,20 min Chest & Back Strength,20,DANIEL MCKENNA,STRENGTH,Sun 10/10/21 @ 1:00 AM,99.4,5763,7.4,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,False,"['Heavy Weights', 'Light Weights', 'Workout Mat']"
INTERMEDIATE,20 min Glutes & Legs Strength,20,DANIEL MCKENNA,STRENGTH,Sun 10/3/21 @ 11:30 PM,98.5,2636,7.1,Strengthen the largest muscles in your body with this glutes & legs workout.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Core Strength,10,DANIEL MCKENNA,STRENGTH,Tue 9/28/21 @ 10:00 PM,99.8,15758,6.4,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,False,"['Light Weights', 'Workout Mat']"
INTERMEDIATE,10 min Glutes & Legs Strength,10,DANIEL MCKENNA,STRENGTH,Sun 9/26/21 @ 1:00 AM,99.7,9401,7.2,Strengthen the largest muscles in your body with this glutes & legs workout.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Chest & Back Strength,30,DANIEL MCKENNA,STRENGTH,Sun 9/19/21 @ 11:30 PM,99.5,4461,7.3,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,False,"['Heavy Weights', 'Light Weights', 'Workout Mat']"
INTERMEDIATE,20 min Glutes & Legs Strength,20,DANIEL MCKENNA,STRENGTH,Sun 9/19/21 @ 1:00 AM,99.6,6285,7.5,Strengthen the largest muscles in your body with this glutes & legs workout.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Upper Body Strength,20,DANIEL MCKENNA,STRENGTH,Tue 9/14/21 @ 10:00 PM,99.8,7468,7.2,"Our upper body classes combine movements that are designed to strengthen your arms, shoulders, chest and back. While our more concentrated classes isolate specific parts of the body, this class offers a broader focus of upper-body strengthening.",False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Full Body Strength,30,DANIEL MCKENNA,STRENGTH,Sun 9/12/21 @ 1:00 AM,99.5,6212,7.3,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,True,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Upper Body Strength,20,DANIEL MCKENNA,STRENGTH,Tue 9/7/21 @ 10:00 PM,99.7,12680,7.6,"Our upper body classes combine movements that are designed to strengthen your arms, shoulders, chest and back. While our more concentrated classes isolate specific parts of the body, this class offers a broader focus of upper-body strengthening.",False,"['Light Weights', 'Medium Weights', 'Workout Mat', 'Heavy Weights']"
INTERMEDIATE,30 min Full Body Strength,30,DANIEL MCKENNA,STRENGTH,Tue 9/7/21 @ 12:00 AM,99.8,5264,7.2,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Arms & Shoulders Strength,10,DANIEL MCKENNA,STRENGTH,Fri 9/3/21 @ 7:30 AM,99.7,15368,7.1,Grab your weights and join us for an arm and shoulder workout to tone and strengthen your upper body.,False,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Glutes & Legs Strength,20,DANIEL MCKENNA,STRENGTH,Fri 9/3/21 @ 7:30 AM,99.4,12199,7.6,Strengthen the largest muscles in your body with this glutes and legs workout inspired by Usain Bolt¡¯s training routine.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Premiere Full Body Strength,20,DANIEL MCKENNA,STRENGTH,Fri 9/3/21 @ 7:00 AM,99.7,4259,6.9,Join us in welcoming Daniel to the Peloton family! Daniel's playlist is sure to get you moving in his premiere full-body strength class.,True,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
