DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,DENIS MORTON,STRENGTH,Fri 7/9/21 @ 8:15 AM,99.8,24864,6.7,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,DENIS MORTON,STRENGTH,Wed 3/24/21 @ 9:00 PM,99.5,28336,6.6,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Tue 7/28/20 @ 8:15 AM,99.7,53194,7.1,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Tue 7/14/20 @ 6:45 AM,99.8,30466,7.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Tue 3/10/20 @ 11:05 PM,99.3,83165,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Wed 2/12/20 @ 12:05 AM,99.1,22384,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Wed 1/15/20 @ 12:05 AM,99.7,16460,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Wed 1/1/20 @ 12:05 AM,99.7,11156,6.9,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,DENIS MORTON,STRENGTH,Thu 12/12/19 @ 4:05 AM,95.4,11094,7.3,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Wed 11/6/19 @ 12:05 AM,99.8,16578,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Tue 10/22/19 @ 11:05 PM,99.4,8456,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Tue 9/24/19 @ 11:05 PM,99.8,9729,7.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Mon 8/12/19 @ 10:05 PM,99.8,12594,7.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Shoulders Toning,10,DENIS MORTON,STRENGTH,Sat 7/27/19 @ 2:05 AM,99.1,6923,5.8,Grab your weights and join us for 10 minutes of arm and shoulder work to tone your upper body.,False,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Core Strength,10,DENIS MORTON,STRENGTH,Sat 7/27/19 @ 1:35 AM,90.8,18395,7.2,"Join us on the floor for 10 minutes of core work to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Mon 7/15/19 @ 10:05 PM,99.9,7960,7.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,DENIS MORTON,STRENGTH,Fri 6/7/19 @ 3:10 AM,98.4,10404,6.2,"Join us on the floor for 10 minutes of core work to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Mon 6/3/19 @ 10:05 PM,99.2,7326,7.1,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Mon 5/6/19 @ 10:05 PM,99.8,7730,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,DENIS MORTON,STRENGTH,Fri 4/26/19 @ 2:40 AM,99.3,6463,7.1,"Join us on the floor for 10 minutes of core work to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,5 min Arms & Shoulders Toning,5,DENIS MORTON,STRENGTH,Fri 4/26/19 @ 2:30 AM,99.7,31514,5.8,Grab your weights and join us for 5 minutes of arm and shoulder work to tone your upper body.,False,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Mon 4/22/19 @ 10:05 PM,99.6,4342,6.8,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
