DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,EMMA LOVEWELL,STRENGTH,Fri 9/10/21 @ 5:45 AM,99.6,22386,6.4,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,EMMA LOVEWELL,STRENGTH,Sun 8/15/21 @ 10:15 PM,99.8,21935,6.2,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
INTERMEDIATE,20 min Chris Cornell Core Strength,20,EMMA LOVEWELL,STRENGTH,Mon 8/2/21 @ 10:00 PM,99.5,13400,7.1,Rock out to the legendary voice of Chris Cornell and the music that created the 90s grunge movement in this new Artist Series.,False,['Workout Mat']
INTERMEDIATE,20 min In the Heights Core Strength,20,EMMA LOVEWELL,STRENGTH,Sat 7/10/21 @ 10:00 PM,97.3,8280,6.4,Sweat with Emma to the vibrant rhythm and beats of Lin-Manuel Miranda¡¯s hit musical ¡°In the Heights.¡±,False,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,EMMA LOVEWELL,STRENGTH,Sun 6/27/21 @ 8:45 PM,99.8,30606,6.5,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Sam Smith Core Strength,10,EMMA LOVEWELL,STRENGTH,Thu 6/10/21 @ 10:00 PM,99.5,47637,7.1,Break out and sweat with Emma to the timeless vocals of singer-songwriter Sam Smith.,False,['Workout Mat']
INTERMEDIATE,15 min APIHM Bhangra Core Strength,15,EMMA LOVEWELL,STRENGTH,Sat 5/29/21 @ 10:00 PM,98.9,14065,6.5,Celebrate Asian and Pacific Islander Heritage Month in this 20 min Bhangra Core Strength.,False,['Workout Mat']
INTERMEDIATE,20 min Silk Sonic Pilates,20,EMMA LOVEWELL,STRENGTH,Wed 5/26/21 @ 10:00 PM,99.5,22594,5.9,Celebrate Asian and Pacific Islander Heritage Month in this 20 min Silk Sonic Pilates.,False,['Workout Mat']
INTERMEDIATE,20 min Core Strength,20,EMMA LOVEWELL,STRENGTH,Mon 5/3/21 @ 12:30 AM,99.3,20838,6.7,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,EMMA LOVEWELL,STRENGTH,Mon 4/12/21 @ 8:45 PM,99.8,41413,6.8,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,True,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,EMMA LOVEWELL,STRENGTH,Mon 3/8/21 @ 9:45 PM,99.8,36961,6.8,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
INTERMEDIATE,15 min Megan Thee Stallion Core Strength,15,EMMA LOVEWELL,STRENGTH,Sat 3/6/21 @ 1:00 AM,99.4,51617,6.9,"Calling all hotties to the Leaderboard. Body every move and train with Emma Lovewell to the empowering sounds of rap sensation, Megan Thee Stallion.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Wed 2/24/21 @ 6:45 AM,99.7,24849,6.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,True,['Light Weights']
NO_DIFFICULTY_TAG,10 min Bob Marley Core Strength,10,EMMA LOVEWELL,STRENGTH,Fri 2/5/21 @ 11:00 PM,99.1,48880,6.8,Catch a fire and feel the positive vibrations in this Bob Marley Artist Series core with Emma.,False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Mon 1/25/21 @ 9:45 PM,99.6,27554,6.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Elvis Remix Core Strength,10,EMMA LOVEWELL,STRENGTH,Wed 12/30/20 @ 8:00 AM,98.5,84871,6.2,"Join Emma for a 10 min Elvis Remix class featuring a new exclusive track with Chromeo, Dillon Francis and Big Boi only available with Peloton.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Mon 12/28/20 @ 9:15 PM,99.6,30121,6.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
BEGINNER,20 min Pilates,20,EMMA LOVEWELL,STRENGTH,Wed 12/16/20 @ 10:00 PM,99.3,55623,5.1,"This 20-minute mat Pilates class increases core strength, flexibility and body awareness. Focus on fundamentals and learn modifications to kick-start a strong Pilates practice.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Intro to Pilates,10,EMMA LOVEWELL,STRENGTH,Wed 12/16/20 @ 10:00 PM,99.6,54832,4.9,Join us for 10 minutes in this core-centered mat class. Learn foundational movements that will set you up for any of our Pilates classes!,False,['Workout Mat']
INTERMEDIATE,30 min Pilates,30,EMMA LOVEWELL,STRENGTH,Wed 12/16/20 @ 10:00 PM,98.9,47284,6.3,"This 30-minute mat Pilates class increases core strength, flexibility and body awareness. Build strength & stamina with longer Pilates flows, progressions and challenging choreography.",False,['Workout Mat']
NO_DIFFICULTY_TAG,15 min Pilates,15,EMMA LOVEWELL,STRENGTH,Wed 12/16/20 @ 10:00 PM,99.3,60824,5.7,"This 15-minute mat Pilates class increases core strength, flexibility and body awareness. Build upon core principles and signature exercises that will leave you feeling aligned and energized.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Mon 11/9/20 @ 9:15 PM,99.8,27071,6.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Mon 10/12/20 @ 8:15 PM,99.7,18887,6.8,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Prince Core Strength,10,EMMA LOVEWELL,STRENGTH,Fri 8/14/20 @ 8:00 PM,99.4,93468,6.6,Get stronger with Emma and party like it¡¯s 1999 in our Prince Core Strength class.,False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Sat 7/25/20 @ 8:15 AM,99.9,79599,7.1,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Sat 7/11/20 @ 8:15 AM,99.8,38085,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Fri 6/12/20 @ 6:45 AM,99.6,49398,6.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,EMMA LOVEWELL,STRENGTH,Sat 1/4/20 @ 9:30 PM,99.6,69187,7.3,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,5 min Arms & Shoulders Toning,5,EMMA LOVEWELL,STRENGTH,Sat 12/28/19 @ 9:30 PM,99.8,159559,6.2,Grab your weights and join us for an arm and shoulder workout to tone your upper body.,False,['Workout Mat']
NO_DIFFICULTY_TAG,5 min Core Strength,5,EMMA LOVEWELL,STRENGTH,Sat 12/21/19 @ 9:30 PM,99.8,221222,6.6,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Mon 11/25/19 @ 8:00 PM,99.8,18888,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,EMMA LOVEWELL,STRENGTH,Sat 11/23/19 @ 9:30 PM,99.7,61769,7.3,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Core Strength,10,EMMA LOVEWELL,STRENGTH,Sat 11/16/19 @ 9:30 PM,99.1,25589,6.9,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Core Strength,10,EMMA LOVEWELL,STRENGTH,Sat 11/9/19 @ 9:30 PM,99.6,41954,7.2,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,5 min Core Strength,5,EMMA LOVEWELL,STRENGTH,Sat 11/2/19 @ 8:30 PM,99.5,104606,7.0,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Fri 10/11/19 @ 8:00 PM,99.8,30662,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Wed 10/2/19 @ 4:30 AM,99.7,14004,6.8,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,EMMA LOVEWELL,STRENGTH,Fri 9/27/19 @ 8:00 PM,98.9,27994,6.2,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,5 min Arms & Shoulders Toning,5,EMMA LOVEWELL,STRENGTH,Wed 9/25/19 @ 1:55 AM,99.9,61866,5.6,Grab your weights and join us for an arm and shoulder workout to tone your upper body.,False,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,5 min Core Strength,5,EMMA LOVEWELL,STRENGTH,Fri 8/30/19 @ 7:30 PM,99.4,35332,6.0,"Join us on the floor for 5 minutes of core work to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Mon 8/19/19 @ 11:05 PM,99.8,17803,7.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,EMMA LOVEWELL,STRENGTH,Wed 8/7/19 @ 7:30 PM,99.6,38640,6.5,"Join us on the floor for 10 minutes of core work to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Mon 8/5/19 @ 11:05 PM,99.7,8715,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,5 min Arms & Shoulder Toning,5,EMMA LOVEWELL,STRENGTH,Sat 7/27/19 @ 8:30 PM,99.8,35290,6.2,Grab your weights and join us for 5 minutes of arm and shoulder work to tone and strengthen your upper body.,False,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Bodyweight Strength,10,EMMA LOVEWELL,STRENGTH,Thu 7/25/19 @ 5:00 AM,99.6,9736,6.4,Join us for a high-energy bodyweight training workout. You won¡¯t need weights for this class!,False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Mon 7/22/19 @ 11:05 PM,99.6,7019,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,EMMA LOVEWELL,STRENGTH,Sat 7/20/19 @ 9:00 PM,98.6,14505,7.2,"Join us on the floor for 10 minutes of core work to align, strengthen and tone your lower back and abdominal muscles.",False,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Mon 7/8/19 @ 11:05 PM,99.8,8882,7.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,EMMA LOVEWELL,STRENGTH,Tue 7/2/19 @ 10:05 PM,99.7,6990,7.0,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
