DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,HANNAH FRANKSON,STRENGTH,Wed 10/13/21 @ 9:35 PM,99.6,13232,6.5,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,HANNAH FRANKSON,STRENGTH,Wed 9/15/21 @ 3:05 PM,97.4,16751,6.8,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,HANNAH FRANKSON,STRENGTH,Tue 8/17/21 @ 2:02 AM,99.6,19340,6.1,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,HANNAH FRANKSON,STRENGTH,Tue 7/20/21 @ 2:05 AM,99.5,17598,6.8,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,HANNAH FRANKSON,STRENGTH,Fri 6/11/21 @ 9:35 PM,98.7,24059,6.9,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,HANNAH FRANKSON,STRENGTH,Fri 5/28/21 @ 9:35 PM,99.4,16387,6.4,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,HANNAH FRANKSON,STRENGTH,Fri 4/9/21 @ 9:35 PM,99.7,29762,6.6,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,HANNAH FRANKSON,STRENGTH,Thu 2/25/21 @ 7:25 PM,99.7,21967,6.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,HANNAH FRANKSON,STRENGTH,Thu 1/21/21 @ 2:30 PM,97.8,24449,7.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,HANNAH FRANKSON,STRENGTH,Wed 12/2/20 @ 2:05 AM,99.5,20899,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
