DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
INTERMEDIATE,Flash 15,15,JESS SIMS,STRENGTH,Fri 10/29/21 @ 9:15 PM,99.6,3437,7.7,"Want to get moving but have little time to spare? Join Jess for this quick and effective full body workout, it¡¯s the perfect complement to a busy schedule!",FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Bodyweight Strength,20,JESS SIMS,STRENGTH,Fri 10/29/21 @ 8:30 PM,99.6,3019,7,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
INTERMEDIATE,45 min Full Body Strength,45,JESS SIMS,STRENGTH,Wed 10/27/21 @ 10:00 PM,99.4,3396,7.9,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,Flash 15,15,JESS SIMS,STRENGTH,Fri 10/22/21 @ 9:15 PM,99.8,5200,7.2,"Want to get moving but have little time to spare? Join Jess for this quick and effective full body workout, it¡¯s the perfect complement to a busy schedule!",TRUE,"['Light Weights', 'Workout Mat']"
BEGINNER,20 min Bodyweight Strength,20,JESS SIMS,STRENGTH,Wed 10/20/21 @ 10:00 PM,99.6,2291,5.6,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,Flash 15,15,JESS SIMS,STRENGTH,Fri 10/15/21 @ 9:15 PM,99.6,6947,7.4,"Want to get moving but have little time to spare? Join Jess for this quick and effective full body workout, it¡¯s the perfect complement to a busy schedule!",TRUE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Arms & Shoulders Strength,20,JESS SIMS,STRENGTH,Fri 10/15/21 @ 8:30 PM,99.8,9473,7.3,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.,FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,45 min Full Body Strength,45,JESS SIMS,STRENGTH,Wed 10/13/21 @ 10:00 PM,99.7,6702,7.8,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,Flash 15,15,JESS SIMS,STRENGTH,Fri 10/8/21 @ 9:15 PM,99.6,7288,7.3,"Want to get moving but have little time to spare? Join Jess for this quick and effective full body workout, it¡¯s the perfect complement to a busy schedule!",TRUE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Full Body Strength,20,JESS SIMS,STRENGTH,Fri 10/8/21 @ 8:30 PM,99.6,10743,7.1,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Chest & Back Strength,20,JESS SIMS,STRENGTH,Wed 10/6/21 @ 10:00 PM,99.8,6843,7.1,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Arms & Shoulders Strength,10,JESS SIMS,STRENGTH,Wed 9/29/21 @ 10:00 PM,99.5,17010,6.8,Grab your weights and join us for an arm and shoulder workout to tone and strengthen your upper body.,TRUE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,Flash 15,15,JESS SIMS,STRENGTH,Fri 9/24/21 @ 9:30 PM,99.5,9033,7.5,"Want to get moving but have little time to spare? Join Jess for this quick and effective full body workout, it¡¯s the perfect complement to a busy schedule!",FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Full Body Strength,30,JESS SIMS,STRENGTH,Fri 9/24/21 @ 8:30 PM,99.8,11993,7.4,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Glutes & Legs Strength,10,JESS SIMS,STRENGTH,Thu 9/23/21 @ 8:30 PM,99.7,8003,6.7,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,Flash 15,15,JESS SIMS,STRENGTH,Fri 9/17/21 @ 9:30 PM,99.6,15190,7.4,"Want to get moving but have little time to spare? Join Jess for this quick and effective full body workout, it¡¯s the perfect complement to a busy schedule!",TRUE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Upper Body Strength,20,JESS SIMS,STRENGTH,Fri 9/17/21 @ 8:30 PM,99.7,13302,7,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.,FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,Flash 15,15,JESS SIMS,STRENGTH,Fri 9/10/21 @ 9:30 PM,99.4,8609,7.4,"Want to get moving but have little time to spare? Join Jess for this quick and effective full body workout, it¡¯s the perfect complement to a busy schedule!",TRUE,"['Light Weights', 'Workout Mat']"
INTERMEDIATE,20 min Full Body Strength,20,JESS SIMS,STRENGTH,Fri 9/10/21 @ 8:30 PM,99.3,6787,7.1,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,45 min Full Body Strength,45,JESS SIMS,STRENGTH,Wed 9/8/21 @ 10:00 PM,99.7,11708,7.7,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Bodyweight Strength,10,JESS SIMS,STRENGTH,Wed 9/1/21 @ 10:00 PM,99.6,8963,6.7,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,Flash 15,15,JESS SIMS,STRENGTH,Fri 8/27/21 @ 9:30 PM,99.6,8762,6.9,"Want to get moving but have little time to spare? Join Jess for this quick and effective full body workout, it¡¯s the perfect complement to a busy schedule!",TRUE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Full Body Strength,20,JESS SIMS,STRENGTH,Fri 8/27/21 @ 8:30 PM,99,9030,7.1,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,Flash 15,15,JESS SIMS,STRENGTH,Fri 8/13/21 @ 9:30 PM,99.7,13725,7.4,"Want to get moving but have little time to spare? Join Jess for this quick and effective full body workout, it¡¯s the perfect complement to a busy schedule!",TRUE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,30 min Aretha Franklin Full Body,30,JESS SIMS,STRENGTH,Mon 8/9/21 @ 10:00 PM,99.5,9999,7.2,"Aretha Franklin defined the golden age of soul music, and her legendary anthems are as current now as they were then. Sing from your heart and move in this Artist Series dedicated to the Queen of Soul.",TRUE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,Flash 15,15,JESS SIMS,STRENGTH,Fri 8/6/21 @ 9:30 PM,99.3,9745,7.1,"Want to get moving but have little time to spare? Join Jess for this quick and effective full body workout, it¡¯s the perfect complement to a busy schedule!",TRUE,[]
INTERMEDIATE,20 min Glutes & Legs Strength,20,JESS SIMS,STRENGTH,Fri 8/6/21 @ 8:30 PM,98.8,9703,7.4,Strengthen the largest muscles in your body with this glutes & legs workout.,TRUE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Arms & Shoulders Strength,10,JESS SIMS,STRENGTH,Thu 8/5/21 @ 10:00 PM,99.2,17922,6.5,Grab your weights and join us for an arm and shoulder workout to tone and strengthen your upper body.,FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,45 min Full Body Strength,45,JESS SIMS,STRENGTH,Wed 8/4/21 @ 10:00 PM,99.7,10593,7.6,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Chest & Back Strength,20,JESS SIMS,STRENGTH,Wed 7/28/21 @ 10:00 PM,99.8,18958,7.2,Grab your weights and join us for a chest and back workout to tone and strengthen your upper body.,FALSE,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,Flash 15,15,JESS SIMS,STRENGTH,Fri 7/23/21 @ 9:30 PM,99.6,11024,7.4,"Want to get moving but have little time to spare? Join Jess for this quick and effective full body workout, it¡¯s the perfect complement to a busy schedule!",TRUE,"['Medium Weights', 'Workout Mat']"
