DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,KENDALL TOOLE,STRENGTH,Tue 9/28/21 @ 12:15 AM,99.2,19283,6.7,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,KENDALL TOOLE,STRENGTH,Tue 7/13/21 @ 9:00 PM,98.3,30411,7.2,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min AFO Arms: Demi Lovato,10,KENDALL TOOLE,STRENGTH,Fri 7/2/21 @ 8:00 PM,96.5,25486,6.7,All for One is here! Move to the sounds of Demi Lovato in this arms workout with Kendall as we come together for the digital music festival of a lifetime.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,KENDALL TOOLE,STRENGTH,Tue 5/11/21 @ 12:15 AM,98.6,33596,6.4,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
INTERMEDIATE,30 min Pilates,30,KENDALL TOOLE,STRENGTH,Tue 4/6/21 @ 9:00 PM,97.2,19150,7.0,"This 30 minute mat Pilates class increases core strength, flexibility and body awareness. Build strength & stamina with longer Pilates flows, progressions, and challenging choreography.",False,['Workout Mat']
BEGINNER,20 min Pilates,20,KENDALL TOOLE,STRENGTH,Tue 4/6/21 @ 9:00 PM,99.3,23473,4.7,"This 20 minute mat Pilates class increases core strength, flexibility and body awareness. Focus on fundamentals and learn modifications to kick-start a strong Pilates practice.",False,['Workout Mat']
NO_DIFFICULTY_TAG,15 min Pilates,15,KENDALL TOOLE,STRENGTH,Tue 4/6/21 @ 9:00 PM,97.5,26410,5.3,"This 15 minute mat Pilates class increases core strength, flexibility and body awareness. Build upon core principles and signature exercises that will leave you feeling aligned and energized.",False,['Workout Mat']
INTERMEDIATE,45 min Pilates,45,KENDALL TOOLE,STRENGTH,Tue 4/6/21 @ 9:00 PM,98.6,5661,6.7,"This 45 minute mat Pilates class increases core strength, flexibility and body awareness. Build strength & stamina with longer Pilates flows, progressions, and challenging choreography.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,KENDALL TOOLE,STRENGTH,Tue 2/16/21 @ 10:00 PM,99.5,41698,7.1,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,KENDALL TOOLE,STRENGTH,Fri 10/9/20 @ 9:00 PM,93.4,27401,7.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,KENDALL TOOLE,STRENGTH,Mon 8/31/20 @ 1:45 AM,93.2,40736,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,KENDALL TOOLE,STRENGTH,Tue 7/7/20 @ 9:00 PM,97.4,31338,7.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Pride: Arms Toning,10,KENDALL TOOLE,STRENGTH,Sun 6/21/20 @ 5:15 AM,98.3,39242,7.6,Move with Pride in this 10-minute Arms Toning with Kendall!,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min AHM: Bollywood Arms Toning,10,KENDALL TOOLE,STRENGTH,Tue 5/26/20 @ 10:00 PM,98.2,38803,7.7,"Celebrate Asian Heritage Month in this 10-minute Arms Toning with Kendall, featuring Bollywood music.",False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,KENDALL TOOLE,STRENGTH,Wed 1/29/20 @ 12:05 AM,99.3,70447,7.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,KENDALL TOOLE,STRENGTH,Sat 12/28/19 @ 8:30 PM,97.9,19573,7.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,KENDALL TOOLE,STRENGTH,Wed 12/4/19 @ 8:00 PM,98.3,17175,7.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,KENDALL TOOLE,STRENGTH,Wed 10/30/19 @ 3:00 AM,98.1,14292,7.8,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,KENDALL TOOLE,STRENGTH,Tue 9/10/19 @ 7:00 PM,98.6,15377,7.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
