DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,LEANNE HAINSBY,STRENGTH,Tue 11/2/21 @ 3:05 AM,99.8,4501,6.2,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,LEANNE HAINSBY,STRENGTH,Tue 10/19/21 @ 2:05 AM,99.8,13705,7.2,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,LEANNE HAINSBY,STRENGTH,Fri 8/27/21 @ 2:05 AM,99.8,20205,6.4,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,LEANNE HAINSBY,STRENGTH,Tue 7/13/21 @ 2:05 AM,99.9,25492,7.0,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,LEANNE HAINSBY,STRENGTH,Fri 6/18/21 @ 2:05 AM,99.8,32180,6.4,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,LEANNE HAINSBY,STRENGTH,Fri 5/21/21 @ 2:05 AM,99.8,21837,6.3,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,LEANNE HAINSBY,STRENGTH,Fri 4/30/21 @ 2:05 AM,99.7,20160,6.7,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,LEANNE HAINSBY,STRENGTH,Fri 3/19/21 @ 2:35 PM,99.7,32391,6.3,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Tue 2/9/21 @ 10:35 PM,99.5,24187,6.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Fri 1/8/21 @ 3:35 AM,99.9,30001,6.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Fri 11/20/20 @ 11:00 PM,99.7,19446,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Sat 10/3/20 @ 11:35 PM,99.9,22651,7.0,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Thu 9/3/20 @ 2:05 AM,99.8,40668,6.8,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Wed 8/5/20 @ 9:35 PM,99.8,41132,7.0,Grab your free weights from the back of the Bike to tone your arms during your work,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Sat 7/25/20 @ 4:35 PM,99.2,26028,6.8,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Thu 7/9/20 @ 9:35 PM,99.7,28071,7.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Mon 6/15/20 @ 10:40 PM,99.8,42607,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Tue 4/14/20 @ 4:30 PM,99.6,158374,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Tue 3/10/20 @ 6:00 PM,99.7,50474,7.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,[]
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Tue 2/18/20 @ 2:35 PM,99.8,19736,7.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Tue 2/11/20 @ 2:35 PM,99.8,13106,7.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Tue 2/4/20 @ 2:35 PM,99.6,14155,7.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Tue 1/28/20 @ 2:35 PM,99.7,11569,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Tue 1/21/20 @ 3:35 PM,99.5,10398,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,LEANNE HAINSBY,STRENGTH,Tue 1/14/20 @ 8:10 PM,99.6,9410,7.5,Grab your weights and join us for an arm and shoulder workout to tone your upper body.,False,['Light Weights']
