DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,30 min Strength for Runners,30,MATT WILPERS,STRENGTH,Thu 7/15/21 @ 10:00 PM,99,3551,7.2,Improve your running strength and stability in this workout off the Tread.,False,"['Light Weights', 'Workout Mat']"
INTERMEDIATE,20 min Strength for Runners,20,MATT WILPERS,STRENGTH,Thu 7/8/21 @ 10:00 PM,99.3,3092,6.2,Improve your running strength and stability in this workout off the Tread.,False,"['Heavy Weights', 'Workout Mat']"
INTERMEDIATE,15 min Strength for Runners,15,MATT WILPERS,STRENGTH,Fri 6/11/21 @ 10:00 PM,98.8,3895,6.0,Improve your running strength and stability in this workout off the Tread.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Strength for Runners,10,MATT WILPERS,STRENGTH,Fri 6/4/21 @ 10:00 PM,99.5,4645,5.4,Improve your running strength and stability in this workout off the Tread.,False,['Workout Mat']
INTERMEDIATE,20 min Strength for Runners,20,MATT WILPERS,STRENGTH,Tue 4/27/21 @ 8:30 PM,98.9,3894,5.8,Improve your running strength and stability in this workout off the Tread.,True,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Strength for Runners,20,MATT WILPERS,STRENGTH,Thu 4/15/21 @ 10:00 PM,99.7,5220,6.2,Improve your running strength and stability in this workout off the Tread.,False,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,15 min Strength for Runners,15,MATT WILPERS,STRENGTH,Tue 4/13/21 @ 8:30 PM,99.2,2971,6.0,Improve your running strength and stability in this workout off the Tread.,True,['Workout Mat']
INTERMEDIATE,15 min Strength for Runners,15,MATT WILPERS,STRENGTH,Thu 4/8/21 @ 10:00 PM,98.9,3111,6.1,Improve your running strength and stability in this workout off the Tread.,False,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Strength for Runners,20,MATT WILPERS,STRENGTH,Tue 3/30/21 @ 8:30 PM,99.7,4063,6.3,Improve your running strength and stability in this workout off the Tread.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Strength Warm Up,10,MATT WILPERS,STRENGTH,Thu 3/4/21 @ 11:00 PM,98.8,5332,3.8,"You can do anything for 5 minutes. Our strength warm ups are designed to elevate your heart rate, increase blood flow and get your body ready for your workout through mobility training and breathing exercises.",False,['Workout Mat']
INTERMEDIATE,30 min Strength for Runners,30,MATT WILPERS,STRENGTH,Tue 3/2/21 @ 9:30 PM,98.4,4909,6.4,Improve your running strength and stability in this workout off the Tread.,False,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,MATT WILPERS,STRENGTH,Fri 2/19/21 @ 10:00 PM,99.8,34458,6.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
INTERMEDIATE,20 min Strength for Runners,20,MATT WILPERS,STRENGTH,Tue 1/12/21 @ 9:30 PM,99.1,6759,6.7,Improve your running strength and stability in this workout off the Tread.,False,['Workout Mat']
INTERMEDIATE,30 min Strength for Runners,30,MATT WILPERS,STRENGTH,Tue 1/5/21 @ 9:30 PM,99.1,6109,6.3,Improve your running strength and stability in this workout off the Tread.,False,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,30 min Strength for Runners,30,MATT WILPERS,STRENGTH,Tue 11/24/20 @ 9:30 PM,99.2,5527,6.9,Improve your running strength and stability in this workout off the Tread.,False,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,MATT WILPERS,STRENGTH,Thu 10/29/20 @ 8:30 PM,99.8,23378,6.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
INTERMEDIATE,20 min Strength for Runners,20,MATT WILPERS,STRENGTH,Tue 10/13/20 @ 8:30 PM,99.5,2719,5.9,Improve your running strength and stability in this workout off the Tread.,False,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Strength for Runners,20,MATT WILPERS,STRENGTH,Fri 9/25/20 @ 9:30 PM,99.8,4457,6.2,Improve your running strength and stability in this workout off the Tread.,False,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,MATT WILPERS,STRENGTH,Thu 6/25/20 @ 2:45 AM,99.7,50650,6.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Strength for Runners,10,MATT WILPERS,STRENGTH,Wed 3/11/20 @ 6:35 PM,99.3,12052,6.7,Improve your running strength and stability in this workout off the Tread.,False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Strength for Runners,10,MATT WILPERS,STRENGTH,Mon 2/17/20 @ 12:50 AM,99.6,3968,6.2,Improve your running strength and stability in this workout off the Tread.,False,"['Heavy Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Strength for Runners,10,MATT WILPERS,STRENGTH,Wed 1/15/20 @ 7:35 PM,93.4,5096,7.7,Improve your running strength and stability in this workout off the Tread.,False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Strength for Runners,10,MATT WILPERS,STRENGTH,Wed 12/18/19 @ 7:35 PM,99.6,2721,6.3,Improve your running strength and stability in this workout off the Tread.,False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,MATT WILPERS,STRENGTH,Tue 12/17/19 @ 8:00 AM,99.5,41066,7.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Strength for Runners,10,MATT WILPERS,STRENGTH,Wed 10/16/19 @ 6:35 PM,96.9,2631,6.7,Matt W. on his favorite 2019 class: My goal here is to help Members become stronger runners. I showed how a few simple movements can help strengthen the key muscles involved in running. And helped make a lot of people a more resilient runner.,False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Strength for Runners,10,MATT WILPERS,STRENGTH,Wed 9/11/19 @ 6:35 PM,99.7,1911,6.1,Improve your running strength and stability in this workout off the Tread.,False,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Strength for Runners,10,MATT WILPERS,STRENGTH,Wed 8/28/19 @ 6:35 PM,99.8,7456,6.1,Improve your running strength and stability in this workout off the Tread.,False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,MATT WILPERS,STRENGTH,Wed 8/21/19 @ 11:05 PM,99.7,15946,7.0,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,MATT WILPERS,STRENGTH,Fri 7/26/19 @ 11:05 PM,99.6,7394,6.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,MATT WILPERS,STRENGTH,Sat 7/13/19 @ 3:25 AM,99,11054,6.1,"Join us on the floor for 10 minutes of core work to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Strength For Runners,10,MATT WILPERS,STRENGTH,Wed 7/10/19 @ 6:35 PM,99.1,769,6.2,Improve your running strength and stability in this 10 minute workout off the Tread.,False,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,MATT WILPERS,STRENGTH,Fri 6/14/19 @ 11:05 PM,99.7,8047,6.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Strength for Runners,10,MATT WILPERS,STRENGTH,Wed 4/10/19 @ 6:35 PM,98.8,1021,6.0,Improve your running strength and stability in this 10 minute workout off the Tread.,False,"['Medium Weights', 'Workout Mat']"
