DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
BEGINNER,20 min Core Strength,20,MATTY MAGGIACOMO,STRENGTH,Thu 10/28/21 @ 9:10 PM,97.9,1166,5.1,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,"['Light Weights', 'Workout Mat']"
BEGINNER,20 min Arms & Shoulders Strength,20,MATTY MAGGIACOMO,STRENGTH,Thu 10/28/21 @ 8:30 PM,99.5,1519,5.9,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.,FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,45 min Elton John Full Body Strength,45,MATTY MAGGIACOMO,STRENGTH,Thu 10/28/21 @ 7:30 AM,99.7,1631,7.3,You know the words. You know the tunes. Grab your weights with Matty and belt out Elton John¡¯s smash hits like there¡¯s a stadium singing them with you in this special new Artist Series class.,TRUE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
BEGINNER,20 min Bodyweight Strength,20,MATTY MAGGIACOMO,STRENGTH,Fri 10/22/21 @ 10:00 PM,99.2,1436,5.4,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
INTERMEDIATE,10 min Glutes & Legs Strength,10,MATTY MAGGIACOMO,STRENGTH,Thu 10/21/21 @ 9:20 PM,98.6,2537,6.3,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Bodyweight Strength,30,MATTY MAGGIACOMO,STRENGTH,Thu 10/21/21 @ 8:30 PM,99.4,1697,7.4,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
INTERMEDIATE,20 min Glutes & Legs Strength,20,MATTY MAGGIACOMO,STRENGTH,Fri 10/15/21 @ 10:00 PM,99,1981,7.1,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Glutes & Legs Strength,10,MATTY MAGGIACOMO,STRENGTH,Thu 10/14/21 @ 9:10 PM,99,2240,6.8,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Heavy Weights', 'Workout Mat']"
INTERMEDIATE,20 min Disney Core Strength,20,MATTY MAGGIACOMO,STRENGTH,Thu 10/14/21 @ 8:30 PM,99.4,3917,6.3,Be our guest and workout with us to your Disney favorites.,FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Pride 365 Full Body Strength,30,MATTY MAGGIACOMO,STRENGTH,Mon 10/11/21 @ 9:00 PM,98.3,3157,6.7,Join Matty on the floor for this 30-min. celebration of the LGBTQ+ community and the courage required to come out with love for yourself and who you are!,TRUE,"['Heavy Weights', 'Light Weights', 'Workout Mat']"
