DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
INTERMEDIATE,10 min Glutes & Legs Strength,10,OLIVIA AMATO,STRENGTH,Fri 10/29/21 @ 10:00 PM,99,3487,5.9,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,5 min Core Strength,5,OLIVIA AMATO,STRENGTH,Fri 10/22/21 @ 10:00 PM,99.7,20330,6.2,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Full Body Strength Warm Up,10,OLIVIA AMATO,STRENGTH,Fri 10/15/21 @ 10:00 PM,99.8,2949,4.3,"The next 10 minutes will fly by. Our strength warm ups are designed to elevate your heart rate, increase blood flow and get your body ready for your workout through mobility training and breathing exercises.",FALSE,['Workout Mat']
ADVANCED,10 min Glutes & Legs Strength,10,OLIVIA AMATO,STRENGTH,Thu 10/7/21 @ 9:10 PM,98.9,4579,6.6,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Light Weights', 'Workout Mat']"
INTERMEDIATE,20 min Core Strength,20,OLIVIA AMATO,STRENGTH,Thu 10/7/21 @ 8:30 PM,99.5,9725,7.1,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,['Workout Mat']
INTERMEDIATE,10 min Glutes & Legs Strength,10,OLIVIA AMATO,STRENGTH,Fri 10/1/21 @ 10:00 PM,98.9,2925,6.4,Join us for a glutes and legs workout to tone and strengthen the biggest muscles in your body.,FALSE,"['Light Weights', 'Workout Mat']"
INTERMEDIATE,10 min Core Strength,10,OLIVIA AMATO,STRENGTH,Tue 9/28/21 @ 9:10 PM,99.6,30063,7,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,['Workout Mat']
INTERMEDIATE,20 min Full Body Strength,20,OLIVIA AMATO,STRENGTH,Tue 9/28/21 @ 8:30 PM,99,4518,6.4,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Arms & Shoulders Strength,10,OLIVIA AMATO,STRENGTH,Tue 9/21/21 @ 9:10 PM,99.3,10494,6.5,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.,TRUE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Latin Pop Core Strength,20,OLIVIA AMATO,STRENGTH,Tue 9/21/21 @ 8:30 PM,99.7,6855,7,Celebrate Latinx Heritage Month in this 20 min Latin Pop core strength.,FALSE,['Workout Mat']
