DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
INTERMEDIATE,20 min Upper Body Strength,20,REBECCA KENNEDY,STRENGTH,Mon 11/1/21 @ 10:00 PM,99.7,2114,6.9,"Our upper body classes combine movements that are designed to strengthen your arms, shoulders, chest and back. While our more concentrated classes isolate specific parts of the body, this class offers a broader focus of upper-body strengthening.",FALSE,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Halloween Core Strength,10,REBECCA KENNEDY,STRENGTH,Fri 10/29/21 @ 10:35 PM,88.4,10240,5.8,Join us if you dare for this Halloween celebration with Rebecca. Wear your costume and get ready to sweat!,FALSE,['Workout Mat']
INTERMEDIATE,30 min Bodyweight Strength,30,REBECCA KENNEDY,STRENGTH,Mon 10/25/21 @ 10:00 PM,97.7,1707,6.7,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
INTERMEDIATE,45 min Full Body Strength,45,REBECCA KENNEDY,STRENGTH,Fri 10/22/21 @ 10:00 PM,95.7,1569,7.3,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Workout Mat']"
INTERMEDIATE,10 min Arms & Shoulders Strength,10,REBECCA KENNEDY,STRENGTH,Thu 10/21/21 @ 10:40 PM,98.5,9095,6.7,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Core Strength,20,REBECCA KENNEDY,STRENGTH,Thu 10/21/21 @ 10:00 PM,94.4,3041,6.7,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,['Workout Mat']
INTERMEDIATE,20 min Glutes & Legs Strength,20,REBECCA KENNEDY,STRENGTH,Mon 10/18/21 @ 10:40 PM,97.6,4234,6.9,Strengthen the largest muscles in your body with this glutes & legs workout.,TRUE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,45 min Full Body Strength,45,REBECCA KENNEDY,STRENGTH,Fri 10/15/21 @ 10:00 PM,97.4,2175,7,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Workout Mat', 'Heavy Weights', 'Medium Weights']"
NO_DIFFICULTY_TAG,5 min Core Strength,5,REBECCA KENNEDY,STRENGTH,Thu 10/14/21 @ 10:40 PM,98.9,13674,6.4,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,['Workout Mat']
INTERMEDIATE,45 min Full Body Strength,45,REBECCA KENNEDY,STRENGTH,Fri 10/8/21 @ 10:00 PM,98.5,3283,7.1,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Light Weights', 'Workout Mat']"
BEGINNER,20 min Bodyweight Strength,20,REBECCA KENNEDY,STRENGTH,Wed 10/6/21 @ 10:00 PM,98.3,1644,5.6,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
INTERMEDIATE,10 min Core Strength,10,REBECCA KENNEDY,STRENGTH,Mon 10/4/21 @ 10:40 PM,96.1,19085,6.2,Join us for a standing core workout to align and strengthen your abdominal muscles and lower back,FALSE,"['Light Weights', 'Workout Mat']"
INTERMEDIATE,20 min LHM Glutes & Legs Strength,20,REBECCA KENNEDY,STRENGTH,Mon 10/4/21 @ 10:00 PM,98.4,4124,7.2,Celebrate Latinx Heritage Month in this 20 min Glutes & Legs Strength.,FALSE,"['Light Weights', 'Workout Mat']"
