DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
INTERMEDIATE,20 min Core Strength,20,ROBIN ARZ?N,STRENGTH,Tue 11/2/21 @ 10:00 PM,99.6,1228,7.3,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Postnatal Core Strength,10,ROBIN ARZ?N,STRENGTH,Fri 10/29/21 @ 10:00 PM,99.3,704,4.8,"Join Robin on her postnatal journey with a carefully crafted core class for those looking for post-pregnancy strength training. Note: If you have recently given birth, consult your doctor before participating in this class or any exercise program",FALSE,['Workout Mat']
ADVANCED,20 min Core Strength,20,ROBIN ARZ?N,STRENGTH,Tue 10/26/21 @ 10:00 PM,99.4,3978,7.4,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Postnatal Core Strength,10,ROBIN ARZ?N,STRENGTH,Fri 10/22/21 @ 10:00 PM,99.5,1318,4.7,"This core class is carefully crafted for those on their post-pregnancy journey, with some moves being in the quadruped position. Note: If you have recently given birth, consult your doctor before participating in this class or any exercise program.",FALSE,[]
NO_DIFFICULTY_TAG,10 min Postnatal Core Strength,10,ROBIN ARZ?N,STRENGTH,Fri 10/15/21 @ 10:00 PM,99.5,1289,4.7,"This core class is carefully crafted for those on their post-pregnancy journey, with some moves being in the quadruped position. Note: If you have recently given birth, consult your doctor before participating in this class or any exercise program.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Postnatal Core Strength,10,ROBIN ARZ?N,STRENGTH,Fri 10/8/21 @ 10:00 PM,99.3,2641,4.3,"This core class is carefully crafted for those on their post-pregnancy journey, with some moves being in the quadruped position. Note: If you have recently given birth, consult your doctor before participating in this class or any exercise program.",FALSE,['Workout Mat']
INTERMEDIATE,20 min Pop Full Body Strength,20,ROBIN ARZ?N,STRENGTH,Tue 10/5/21 @ 10:30 PM,99.4,7075,7,"We know you love an iconic pop song just as much as you love a full-body workout which is why we're combined the two. This class checks all the boxes: sweat, work and good vibes.",FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min LHM Celebration Core Strength,10,ROBIN ARZ?N,STRENGTH,Tue 10/5/21 @ 10:00 PM,99.7,29885,6.6,Celebrate Latinx Heritage Month in this 10 min core strength.,FALSE,['Yoga Blanket']
NO_DIFFICULTY_TAG,10 min Postnatal Core Strength,10,ROBIN ARZ?N,STRENGTH,Fri 10/1/21 @ 10:00 PM,99.8,2519,4.5,"This core class is carefully crafted for those on their post-pregnancy journey, with all moves being in the supine position. Note: If you have recently given birth, consult your doctor before participating in this class or any exercise program.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Postnatal Core Strength,10,ROBIN ARZ?N,STRENGTH,Fri 9/24/21 @ 10:00 PM,99.8,3195,4.3,"This core class is carefully crafted for those on their post-pregnancy journey, with all moves being in the supine position. Note: If you have recently given birth, consult your doctor before participating in this class or any exercise program.",FALSE,"['Workout Mat', 'Yoga Block']"
INTERMEDIATE,10 min Arms & Shoulders Strength,10,ROBIN ARZ?N,STRENGTH,Mon 9/20/21 @ 10:00 PM,98.9,9578,6.4,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.,FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Postnatal Core Strength,10,ROBIN ARZ?N,STRENGTH,Fri 9/17/21 @ 10:00 PM,98.9,3619,3.6,"This core class is carefully crafted for those on their post-pregnancy journey, with all moves being in the supine position. Note: If you have recently given birth, consult your doctor before participating in this class or any exercise program.",FALSE,"['Workout Mat', 'Yoga Block']"
INTERMEDIATE,20 min Core Strength,20,ROBIN ARZ?N,STRENGTH,Mon 9/13/21 @ 10:30 PM,99.6,8524,7,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,['Workout Mat']
