DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,10 min Halloween Arms & Light Weights,10,SAM YO,STRENGTH,Thu 10/28/21 @ 2:05 AM,99.3,10026,6.2,Grab your free weights and join us if you dare for this Halloween celebration with Sam. Wear your costume and get ready to sweat!,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Ed Sheeran Arms & Light Weights,10,SAM YO,STRENGTH,Wed 9/15/21 @ 1:30 AM,98.6,28110,6.2,Push + pull your way to new personal bests with Sam in this light arms + weights ride powered by music from Ed Sheeran.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,SAM YO,STRENGTH,Sat 8/21/21 @ 9:05 PM,99.6,13144,6.5,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,SAM YO,STRENGTH,Mon 6/28/21 @ 9:35 PM,99.7,24163,6.5,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min APIHM Arms & Light Weights,10,SAM YO,STRENGTH,Sat 5/15/21 @ 9:05 PM,98.9,23756,6.7,Celebrate Asian and Pacific Islander Heritage Month in this 10-minute Arms & Light Weights with Sam.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,SAM YO,STRENGTH,Mon 4/19/21 @ 9:35 PM,99,13869,6.5,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,SAM YO,STRENGTH,Thu 3/4/21 @ 3:05 AM,99.5,19337,6.6,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Tue 1/26/21 @ 4:05 PM,98.8,17005,6.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
INTERMEDIATE,20 min Pilates,20,SAM YO,STRENGTH,Wed 12/16/20 @ 10:00 PM,93,16674,5.3,"This 20 minute mat Pilates class increases core strength, flexibility and body awareness. Build strength & stamina with the introduction of longer Pilates flows, progressions, and challenging choreography.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Intro to Pilates,10,SAM YO,STRENGTH,Wed 12/16/20 @ 10:00 PM,96,19858,3.5,Join us for 10 minutes in this core-centered mat class. Learn foundational movements that will set you up for any of our Pilates classes!,False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Pilates,10,SAM YO,STRENGTH,Wed 12/16/20 @ 10:00 PM,97.3,20339,4.6,"This 10-minute mat Pilates class increases core strength, flexibility and body awareness. Focus on one core principle that will leave you feeling aligned and energized.",False,['Workout Mat']
BEGINNER,30 min Pilates,30,SAM YO,STRENGTH,Wed 12/16/20 @ 10:00 PM,99.1,14869,4.9,"This 30-minute mat Pilates class increases core strength, flexibility and body awareness. Focus on fundamentals and learn modifications to kick-start a strong Pilates practice.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Wed 12/9/20 @ 4:05 PM,99.6,19682,6.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Fri 11/6/20 @ 2:05 AM,99.3,12900,6.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Fri 9/25/20 @ 1:05 AM,98.8,9957,6.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Tue 8/25/20 @ 1:05 AM,98.7,22836,7.1,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Wed 7/15/20 @ 4:25 PM,98.5,18212,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Sat 6/27/20 @ 7:50 PM,98.9,19663,7.1,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Tue 6/23/20 @ 4:25 PM,98.7,14387,7.0,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Tue 6/9/20 @ 4:25 PM,99.2,15670,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Sat 5/30/20 @ 6:35 PM,97.9,8801,6.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Sun 4/5/20 @ 8:55 PM,94,58953,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Mon 3/2/20 @ 2:35 PM,96.6,14110,6.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Mon 2/24/20 @ 2:35 PM,97.8,8977,6.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Mon 2/17/20 @ 2:35 PM,99.2,6479,6.9,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Mon 2/10/20 @ 2:35 PM,98.8,4856,6.8,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Mon 2/3/20 @ 2:35 PM,99.5,5079,6.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Mon 1/27/20 @ 2:35 PM,98.9,4982,6.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Mon 1/20/20 @ 2:35 PM,98.7,4572,7.1,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Mon 1/13/20 @ 2:35 PM,99.2,4280,6.9,Grab your weights and join us for an arm and shoulder workout to tone your upper body.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Mon 1/6/20 @ 2:35 PM,99.6,4971,6.9,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Sun 1/5/20 @ 6:35 PM,99.1,4559,6.2,Grab your weights and join us for an arm and shoulder workout to tone your upper body.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Thu 1/2/20 @ 3:35 PM,99.5,3852,6.9,Grab your weights and join us for an arm and shoulder workout to tone your upper body.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Mon 12/16/19 @ 7:50 PM,99.1,18445,6.0,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Mon 12/2/19 @ 2:35 PM,99.4,4363,6.4,Grab your weights and join us for an arm and shoulder workout to tone your upper body.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,SAM YO,STRENGTH,Mon 11/11/19 @ 3:35 PM,99,4395,6.4,Grab your weights and join us for an arm and shoulder workout to tone your upper body.,False,['Light Weights']
