DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
INTERMEDIATE,20 min Core Strength,20,SELENA SAMUELA,STRENGTH,Mon 11/1/21 @ 1:40 AM,98.9,1990,7.2,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Chest & Back Strength,20,SELENA SAMUELA,STRENGTH,Mon 11/1/21 @ 1:00 AM,99.2,1495,6.8,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,FALSE,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,5 min Core Strength,5,SELENA SAMUELA,STRENGTH,Fri 10/22/21 @ 10:00 PM,99.5,6977,5.8,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,['Workout Mat']
INTERMEDIATE,10 min Glutes & Legs Strength,10,SELENA SAMUELA,STRENGTH,Fri 10/15/21 @ 10:00 PM,99.5,4256,6.6,Strengthen the largest muscles in your body with this glutes & legs workout.,TRUE,"['Heavy Weights', 'Workout Mat']"
INTERMEDIATE,20 min Glutes & Legs Strength,20,SELENA SAMUELA,STRENGTH,Fri 10/8/21 @ 10:00 PM,99.4,4672,7,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Chest & Back Strength,10,SELENA SAMUELA,STRENGTH,Wed 9/29/21 @ 10:00 PM,99.3,3548,6.5,Grab your weights and join us for a chest and back workout to tone and strengthen your upper body.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Glutes & Legs Strength,30,SELENA SAMUELA,STRENGTH,Mon 9/27/21 @ 8:30 PM,97.7,5098,7.3,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Bodyweight Strength,20,SELENA SAMUELA,STRENGTH,Wed 9/22/21 @ 10:00 PM,98.6,3217,6.5,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
INTERMEDIATE,20 min Glutes & Legs Strength,20,SELENA SAMUELA,STRENGTH,Mon 9/20/21 @ 9:20 PM,99.6,7153,7.1,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Heavy Weights', 'Workout Mat']"
INTERMEDIATE,30 min LHM Full Body Strength,30,SELENA SAMUELA,STRENGTH,Mon 9/20/21 @ 8:30 PM,99.2,4410,7.4,Celebrate Latinx Heritage Month in this 30 min full body strength.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
