DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,TUNDE OYENEYIN,STRENGTH,Mon 10/4/21 @ 11:00 PM,99.9,32123,7.2,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,True,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,TUNDE OYENEYIN,STRENGTH,Mon 8/30/21 @ 9:00 PM,99,38032,7.7,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,TUNDE OYENEYIN,STRENGTH,Mon 8/2/21 @ 9:00 PM,99.8,38916,7.5,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,TUNDE OYENEYIN,STRENGTH,Thu 7/15/21 @ 9:00 PM,99.9,40373,7.3,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,TUNDE OYENEYIN,STRENGTH,Tue 6/1/21 @ 9:00 PM,99.8,45379,7.5,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,TUNDE OYENEYIN,STRENGTH,Mon 5/3/21 @ 9:00 PM,99.8,47950,7.3,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,TUNDE OYENEYIN,STRENGTH,Tue 4/6/21 @ 9:00 PM,99.8,40314,7.6,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,TUNDE OYENEYIN,STRENGTH,Mon 3/1/21 @ 10:00 PM,99.8,45284,7.4,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,TUNDE OYENEYIN,STRENGTH,Thu 1/21/21 @ 9:15 AM,99.9,60774,7.8,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,TUNDE OYENEYIN,STRENGTH,Sat 9/12/20 @ 8:15 AM,99.6,58523,7.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,TUNDE OYENEYIN,STRENGTH,Wed 8/12/20 @ 9:00 PM,99.9,65985,7.7,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,TUNDE OYENEYIN,STRENGTH,Fri 5/29/20 @ 10:00 PM,99.8,95810,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,TUNDE OYENEYIN,STRENGTH,Wed 1/15/20 @ 3:00 AM,99.9,125272,7.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,TUNDE OYENEYIN,STRENGTH,Sat 12/21/19 @ 9:00 PM,99.7,31895,7.1,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,TUNDE OYENEYIN,STRENGTH,Fri 11/1/19 @ 6:00 PM,99.3,24883,7.0,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Halloween Arms Toning,10,TUNDE OYENEYIN,STRENGTH,Wed 10/30/19 @ 9:00 AM,99,13821,7.4,Grab your free weights and join us if you dare for this Halloween celebration with Tunde. Wear your costume and get ready to sweat!,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,TUNDE OYENEYIN,STRENGTH,Tue 9/10/19 @ 6:00 PM,99.7,25658,7.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
