DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
INTERMEDIATE,30 min APIHM Bollywood Pilates,30,ADITI SHAH,STRENGTH,Mon 5/24/21 @ 10:00 PM,99.0,10486,5.9,Celebrate Asian and Pacific Islander Heritage Month in this 30 min Bollywood Pilates.,False,['Workout Mat']
NO_DIFFICULTY_TAG,15 min Pilates,15,ADITI SHAH,STRENGTH,Wed 12/16/20 @ 10:00 PM,98.1,37845,4.6,"This 15-minute mat Pilates class increases core strength, flexibility and body awareness. Build upon core principles and signature exercises that will leave you feeling aligned and energized.",False,['Workout Mat']
NO_DIFFICULTY_TAG,15 min Intro to Pilates,15,ADITI SHAH,STRENGTH,Wed 12/16/20 @ 10:00 PM,95.0,23125,3.6,Join us for 15 minutes in this core-centered mat class. Learn foundational movements that will set you up for any of our Pilates classes!,False,['Workout Mat']
BEGINNER,30 min Pilates,30,ADITI SHAH,STRENGTH,Wed 12/16/20 @ 10:00 PM,98.7,28547,4.7,"This 30-minute mat Pilates class increases core strength, flexibility and body awareness. Focus on fundamentals and learn modifications to kick-start a strong Pilates practice.",False,['Workout Mat']
INTERMEDIATE,20 min Pilates,20,ADITI SHAH,STRENGTH,Wed 12/16/20 @ 10:00 PM,97.7,34347,5.3,"This 20-minute mat Pilates class increases core strength, flexibility and body awareness. Build strength & stamina with the introduction of longer Pilates flows, progressions and challenging choreography.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,DENIS MORTON,STRENGTH,Fri 7/9/21 @ 8:15 AM,99.8,24864,6.7,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,DENIS MORTON,STRENGTH,Wed 3/24/21 @ 9:00 PM,99.5,28336,6.6,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Tue 7/28/20 @ 8:15 AM,99.7,53194,7.1,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Tue 7/14/20 @ 6:45 AM,99.8,30466,7.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Tue 3/10/20 @ 11:05 PM,99.3,83165,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Wed 2/12/20 @ 12:05 AM,99.1,22384,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Wed 1/15/20 @ 12:05 AM,99.7,16460,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Wed 1/1/20 @ 12:05 AM,99.7,11156,6.9,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,DENIS MORTON,STRENGTH,Thu 12/12/19 @ 4:05 AM,95.4,11094,7.3,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Wed 11/6/19 @ 12:05 AM,99.8,16578,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Tue 10/22/19 @ 11:05 PM,99.4,8456,7.3,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,DENIS MORTON,STRENGTH,Tue 9/24/19 @ 11:05 PM,99.8,9729,7.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
